sample,bestValue,bestWeight,bestFitness,average,time
1,4|5|9|12|14|15|16|18|20|22|25|29|32|33|34|35|38|40|41|,163,158,116,0
1,4|5|9|12|14|15|16|18|20|22|25|29|32|33|34|35|38|40|41|,163,158,123,8.980456ms
1,4|5|9|12|14|15|16|18|20|22|25|29|32|33|34|35|38|40|41|,163,158,130,8.961589ms
1,4|5|9|12|14|15|16|18|20|22|25|29|32|33|34|35|38|40|41|,163,158,135,8.914016ms
1,4|5|9|12|14|15|16|18|20|22|25|29|32|33|34|35|38|40|41|,163,158,138,8.922804ms
1,4|5|9|12|14|15|16|18|20|22|25|29|32|33|34|35|38|40|41|,163,158,141,8.927435ms
1,4|5|9|12|14|15|16|18|20|22|25|29|32|33|34|35|38|40|41|,163,158,144,8.99476ms
1,4|5|8|9|12|13|14|16|18|21|24|29|32|33|35|40|42|,139,163,146,8.955302ms
1,4|5|8|9|12|13|14|16|18|19|21|22|24|29|33|34|37|38|39|40|42|,176,165,148,8.922631ms
1,4|5|8|9|12|13|14|16|18|19|21|22|24|29|33|34|37|38|39|40|42|,176,165,149,8.927272ms
1,4|5|8|9|12|13|14|16|18|19|21|22|24|29|33|34|37|38|39|40|42|,176,165,150,8.91986ms
1,4|5|8|9|12|13|14|16|18|19|21|22|24|29|33|34|37|38|39|40|42|,176,165,151,8.935611ms
1,4|5|8|9|12|13|14|16|18|19|21|22|24|29|33|34|37|38|39|40|42|,176,165,152,8.980119ms
1,4|5|8|9|12|13|14|16|18|19|21|22|24|29|33|34|37|38|39|40|42|,176,165,154,8.945463ms
1,4|5|9|12|15|16|18|22|24|29|32|33|34|37|38|39|40|42|,179,165,155,8.924379ms
1,4|5|9|12|15|16|18|22|24|29|32|33|34|37|38|39|40|42|,179,165,157,8.914145ms
1,4|5|9|12|15|16|18|22|24|29|32|33|34|37|38|39|40|42|,179,165,158,8.925134ms
1,4|5|9|12|15|16|18|22|24|29|32|33|34|37|38|39|40|42|,179,165,159,8.922139ms
1,4|5|8|9|12|13|14|16|18|19|21|22|24|29|33|34|37|38|39|40|42|,176,165,159,9.005631ms
1,4|5|7|9|12|13|14|18|19|24|29|30|32|33|34|37|38|39|40|42|,203,173,161,8.955544ms
1,4|5|7|9|12|13|14|18|19|24|29|30|32|33|34|37|38|39|40|42|,203,173,162,8.921916ms
1,4|5|7|9|12|13|14|18|19|24|29|30|32|33|34|37|38|39|40|42|,203,173,163,8.923959ms
1,4|5|9|12|15|16|18|21|24|29|33|38|39|40|42|,117,182,164,8.903021ms
1,4|5|9|12|15|16|18|21|24|29|33|38|39|40|42|,117,182,164,8.902038ms
1,4|5|9|12|15|16|18|21|24|29|33|38|39|40|42|,117,182,165,8.946838ms
