sample,bestValue,bestWeight,bestFitness,average,time
1,4|5|6|8|9|12|15|17|18|20|22|25|28|30|35|38|39|41|,120,159,117,0
1,4|5|6|8|9|12|15|17|18|20|22|25|28|30|35|38|39|41|,120,159,128,9.177524ms
1,2|12|14|16|21|23|25|27|34|40|41|42|,120,159,136,9.101751ms
1,4|5|6|8|9|12|15|17|18|20|22|25|28|30|35|38|39|41|,120,159,142,9.141098ms
1,4|5|6|8|9|12|15|17|18|20|22|25|28|30|35|38|39|41|,120,159,145,9.029076ms
1,4|5|6|8|9|12|15|17|18|20|22|25|28|30|35|38|39|41|,120,159,148,9.097466ms
1,2|4|14|16|20|21|27|29|34|40|41|42|,120,170,151,9.227491ms
1,4|9|13|17|19|25|29|30|31|33|35|40|,117,170,153,9.254372ms
1,4|9|13|17|19|25|29|30|31|33|35|40|,117,170,154,9.018541ms
1,2|4|14|16|20|21|27|29|34|40|41|42|,120,170,155,9.169323ms
1,2|4|14|16|20|21|27|29|34|40|41|42|,120,170,157,9.082832ms
1,2|4|14|16|20|21|27|29|34|40|41|42|,120,170,158,9.148008ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,159,9.285875ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,161,9.121302ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,162,9.243808ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,163,9.131322ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,167,9.046461ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,169,9.3632ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,170,9.304224ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,172,9.282004ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,173,9.204521ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,175,9.400418ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,176,9.714317ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,177,9.435573ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,178,9.470801ms
1,4|9|13|19|25|26|29|30|31|33|34|42|,120,186,179,9.158296ms
1,9|25|29|30|34|35|40|42|,111,188,180,9.240606ms
1,4|8|9|13|19|25|26|29|30|33|34|41|42|,117,191,181,9.375503ms
1,4|8|9|13|19|25|26|29|30|33|34|41|42|,117,191,182,9.287609ms
1,4|8|9|13|19|25|26|29|30|33|34|41|42|,117,191,182,9.494136ms
1,4|8|9|12|19|22|24|29|30|31|38|40|42|,120,199,183,9.281724ms
1,4|8|9|12|19|22|24|29|30|31|38|40|42|,120,199,184,9.096491ms
1,4|8|9|12|19|22|24|29|30|31|38|40|42|,120,199,184,9.171074ms
1,4|8|9|12|19|22|24|29|30|31|38|40|42|,120,199,185,9.052346ms
1,4|8|9|12|19|22|24|29|30|31|38|40|42|,120,199,186,9.067291ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,187,9.114424ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,188,9.131843ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,189,9.183908ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,189,9.074909ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,190,9.017704ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,191,9.056088ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,192,9.04281ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,194,9.146876ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,194,9.208191ms
1,4|8|9|12|18|19|24|29|30|31|38|40|42|,120,203,195,9.239038ms
1,4|7|12|18|22|24|29|30|34|38|40|42|,120,204,196,9.252911ms
1,4|7|12|18|22|24|29|30|34|38|40|42|,120,204,197,9.092584ms
1,4|7|12|18|22|24|29|30|34|38|40|42|,120,204,197,9.098046ms
1,4|7|12|18|22|24|29|30|34|38|40|42|,120,204,198,9.123143ms
1,4|5|8|9|12|19|22|24|29|30|38|40|41|42|,120,205,198,9.201975ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,199,9.038519ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,199,9.236787ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,200,9.080305ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,200,9.299517ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,200,9.077946ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,201,9.090268ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,201,9.074148ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,201,9.480553ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,202,9.341735ms
1,4|8|9|10|12|15|18|19|24|25|29|30|38|40|41|42|,119,209,202,9.675722ms
