sample,bestValue,bestWeight,bestFitness,average,time
1,4|5|6|8|10|11|14|18|19|25|26|28|29|30|31|34|36|42|,156,158,115,0
1,4|5|6|8|10|11|14|18|19|25|26|28|29|30|31|34|36|42|,156,158,129,44.241458ms
1,1|9|10|13|14|20|21|23|24|25|29|30|33|34|42|,115,166,136,44.264865ms
1,1|7|9|10|13|14|20|21|23|24|25|29|30|33|34|42|,119,168,140,44.195757ms
1,1|7|9|10|13|14|20|21|23|24|25|29|30|33|34|42|,119,168,145,44.248362ms
1,4|12|14|15|18|19|20|22|25|26|27|28|29|33|34|38|40|41|,132,170,150,44.229765ms
1,4|14|15|18|19|20|22|25|26|27|28|29|33|34|40|41|,120,171,154,44.283516ms
1,4|5|6|8|9|13|15|18|19|22|24|26|27|29|30|32|34|37|40|,163,172,157,44.215428ms
1,4|5|6|8|9|13|15|18|19|22|24|26|27|29|30|32|34|37|40|,163,172,160,44.194045ms
1,4|5|9|10|13|16|18|19|21|23|25|28|29|30|33|34|35|36|37|38|40|42|,205,173,163,44.437981ms
1,4|6|9|10|14|15|18|20|21|22|23|24|29|30|33|34|42|,120,187,165,44.326972ms
1,4|6|9|10|14|15|18|20|21|22|23|24|29|30|33|34|42|,120,187,167,44.250929ms
1,4|8|9|13|18|19|22|23|24|29|30|33|34|42|,112,191,169,44.370437ms
1,4|8|9|13|18|19|22|23|24|29|30|33|34|42|,112,191,170,44.317719ms
1,4|8|9|13|18|19|22|23|24|29|30|33|34|42|,112,191,171,44.35022ms
1,4|8|9|13|18|19|22|23|24|29|30|33|34|42|,112,191,173,44.404034ms
1,4|8|9|13|18|19|22|23|24|29|30|33|34|42|,112,191,174,44.396176ms
1,2|4|9|10|14|15|18|22|25|29|30|33|34|41|42|,119,193,177,44.58991ms
1,1|4|7|8|9|13|18|19|22|23|24|29|30|33|34|42|,119,194,180,44.296324ms
1,1|4|8|9|10|14|18|22|25|29|30|33|34|41|42|,116,194,182,44.254285ms
1,1|4|8|9|10|14|18|22|25|29|30|33|34|41|42|,116,194,185,44.246502ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,187,44.297473ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,189,44.241098ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,190,44.136728ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,191,44.170924ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,192,44.097902ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,192,44.117321ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,193,44.104322ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,194,44.105163ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,195,44.086098ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,196,44.151397ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,196,44.154245ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,197,44.178439ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,198,44.089877ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,198,44.111576ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,199,44.066316ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,199,44.114412ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,200,44.119237ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,200,44.168193ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,201,44.265728ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,201,44.436919ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,202,44.521891ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,202,44.745381ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,202,44.873768ms
1,4|8|9|13|18|19|22|24|28|29|30|33|34|41|42|,120,205,202,44.826691ms
1,4|8|9|13|15|18|19|22|24|29|30|33|34|41|42|,120,208,203,44.567962ms
1,4|8|9|13|15|18|19|22|24|29|30|33|34|41|42|,120,208,203,44.217471ms
1,4|8|9|13|15|18|19|22|24|29|30|33|34|41|42|,120,208,204,44.283999ms
1,4|8|9|13|15|18|19|22|24|29|30|33|34|41|42|,120,208,204,44.283096ms
1,4|8|9|10|14|15|18|19|22|24|29|30|33|34|41|42|,120,208,204,44.253899ms
1,4|8|9|13|15|18|19|22|24|29|30|33|34|41|42|,120,208,204,44.275162ms
1,4|8|9|13|15|18|19|22|24|29|30|33|34|41|42|,120,208,205,44.223268ms
1,4|8|9|13|15|18|19|22|24|29|30|33|34|41|42|,120,208,205,44.552172ms
1,4|8|9|13|15|18|19|22|24|29|30|33|34|41|42|,120,208,205,44.193493ms
1,4|8|9|13|15|18|19|22|24|29|30|33|34|41|42|,120,208,205,44.210737ms
