sample,bestValue,bestWeight,bestFitness,average,time
1,4|5|9|13|16|18|25|28|29|30|32|34|37|,118,161,117,0
1,4|5|9|13|16|18|25|28|29|30|32|34|37|,118,161,132,22.328581ms
1,3|5|13|14|18|19|22|27|28|30|33|40|42|,119,167,141,22.682398ms
1,1|4|5|6|10|13|14|15|19|24|26|27|29|33|35|40|42|,119,175,147,22.815489ms
1,1|4|5|6|10|13|14|15|19|24|26|27|29|33|35|40|42|,119,175,153,22.605237ms
1,5|13|14|27|30|33|35|40|41|42|,118,178,159,22.524319ms
1,5|6|10|13|15|24|27|29|30|33|35|40|42|,120,186,165,22.769927ms
1,4|5|6|8|10|12|15|18|19|24|26|29|33|35|40|42|,119,188,170,22.793911ms
1,4|5|8|10|16|18|27|28|29|30|34|38|41|42|,118,190,176,22.669284ms
1,4|5|13|14|15|18|22|27|28|30|34|40|42|,120,192,179,22.618369ms
1,4|5|6|8|10|12|15|18|19|24|29|33|35|38|40|42|,120,197,181,22.731501ms
1,4|5|6|8|10|12|15|18|19|24|29|33|35|38|40|42|,120,197,183,22.792399ms
1,4|5|6|8|10|12|15|18|19|24|29|33|35|38|40|42|,120,197,184,22.784469ms
1,4|5|6|8|10|12|15|18|19|24|29|33|35|38|40|42|,120,197,186,22.47269ms
1,4|5|6|8|10|12|15|18|19|24|29|33|35|38|40|42|,120,197,187,22.878624ms
1,4|5|6|8|10|12|15|18|19|24|29|33|35|38|40|42|,120,197,189,22.745748ms
1,4|5|8|10|18|22|30|33|34|40|42|,120,201,191,22.608033ms
1,4|5|8|10|18|22|30|33|34|40|42|,120,201,192,22.594681ms
1,4|5|8|10|18|22|30|33|34|40|42|,120,201,192,22.769945ms
1,4|5|8|10|18|22|30|33|34|40|42|,120,201,193,22.673455ms
1,4|5|8|10|15|18|30|33|34|40|42|,120,202,194,22.428932ms
1,4|5|8|10|15|18|30|33|34|40|42|,120,202,195,22.561004ms
1,4|5|8|10|15|18|30|33|34|40|42|,120,202,196,23.039277ms
1,4|5|8|10|15|18|30|33|34|40|42|,120,202,196,22.821933ms
1,4|5|8|10|15|18|30|33|34|40|42|,120,202,197,22.665592ms
1,4|5|8|9|10|12|15|18|19|24|25|29|33|35|38|40|42|,120,202,197,22.696581ms
1,4|5|8|9|10|12|15|18|19|24|25|29|33|35|38|40|42|,120,202,198,23.007157ms
1,4|5|8|9|10|16|18|19|22|30|34|40|42|,120,202,198,22.732746ms
1,4|5|8|10|15|18|30|33|34|40|42|,120,202,198,22.748434ms
1,4|5|8|9|10|12|15|18|19|24|25|29|33|35|38|40|42|,120,202,199,23.045024ms
1,4|5|8|9|10|12|15|18|19|24|25|29|33|35|38|40|42|,120,202,199,23.007117ms
1,4|5|8|10|15|18|30|33|34|40|42|,120,202,200,22.639457ms
1,4|5|8|10|15|18|30|33|34|40|42|,120,202,200,22.617422ms
1,4|5|8|9|10|15|18|29|30|34|40|42|,117,206,201,22.927326ms
1,4|5|8|9|10|15|18|29|30|34|40|42|,117,206,201,22.744125ms
1,4|5|9|18|19|22|30|33|34|40|42|,120,206,201,22.770311ms
1,4|8|10|15|18|29|30|33|34|40|42|,119,207,202,22.885922ms
1,4|8|10|15|18|29|30|33|34|40|42|,119,207,202,22.706156ms
1,4|8|10|15|18|29|30|33|34|40|42|,119,207,202,22.921474ms
1,4|8|10|15|18|29|30|33|34|40|42|,119,207,202,22.634578ms
1,4|5|8|9|13|15|18|29|30|34|40|42|,120,208,203,22.580418ms
1,4|5|8|9|13|15|18|29|30|34|40|42|,120,208,203,22.608356ms
1,4|5|8|9|13|15|18|29|30|34|40|42|,120,208,203,22.638201ms
1,4|5|8|9|13|15|18|29|30|34|40|42|,120,208,203,22.673248ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,204,22.807587ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,205,22.743179ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,205,22.822901ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,206,22.520821ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,206,22.679331ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,206,22.661232ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,207,22.824739ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,207,22.67636ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,207,22.790201ms
1,4|5|8|9|18|19|29|30|34|40|42|,118,209,207,22.923417ms
