sample,bestValue,bestWeight,bestFitness,average,time
1,3|4|8|9|12|14|15|22|24|29|30|31|33|34|36|39|40|42|,194,161,114,0
1,3|4|8|9|12|14|15|22|24|29|30|31|33|34|36|39|40|41|42|,206,161,123,22.957913ms
1,3|4|8|9|10|12|14|15|22|24|29|30|31|33|34|36|39|40|41|42|,207,162,130,22.64337ms
1,3|4|8|9|10|12|14|15|22|24|29|30|31|33|34|36|39|40|41|42|,207,162,134,23.038987ms
1,3|4|8|9|10|12|14|15|22|24|29|30|31|33|34|36|39|40|41|42|,207,162,137,22.499708ms
1,3|4|8|9|10|12|14|15|22|24|29|30|31|33|34|36|39|40|41|42|,207,162,140,22.625497ms
1,3|4|8|9|10|12|14|15|22|24|29|30|31|33|34|36|39|40|41|42|,207,162,143,22.454356ms
1,2|4|5|6|12|14|15|16|17|18|24|29|30|34|35|38|40|42|,164,164,146,22.393099ms
1,4|8|9|12|14|19|22|24|29|30|31|34|39|40|42|,156,164,149,22.315672ms
1,4|8|9|12|14|19|22|24|29|30|31|34|39|40|42|,156,164,150,22.412456ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,153,22.365535ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,155,22.263574ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,157,22.383243ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,158,22.264485ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,160,22.213413ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,161,22.18194ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,162,22.129034ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,164,22.13277ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,164,22.258498ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,166,22.166096ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,167,22.128752ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,168,22.270729ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,169,22.182283ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,171,22.145037ms
1,4|8|9|12|14|15|22|24|29|30|31|34|40|42|,139,185,171,22.222577ms
1,4|6|8|9|12|14|24|29|30|39|40|41|42|,120,193,173,22.128552ms
1,4|8|9|12|14|15|22|24|30|34|38|40|42|,118,200,175,22.182727ms
1,4|8|9|12|14|15|22|24|30|34|38|40|42|,118,200,176,22.266998ms
1,4|8|9|12|14|15|22|24|30|34|38|40|42|,118,200,177,22.127603ms
1,4|8|9|12|14|15|22|24|30|34|38|40|42|,118,200,178,22.129498ms
1,4|8|9|12|14|15|22|24|30|34|38|40|42|,118,200,179,22.158359ms
1,4|8|9|12|14|15|22|24|30|34|38|40|42|,118,200,181,22.127962ms
1,4|8|9|12|14|15|22|24|30|34|38|40|42|,118,200,182,22.135702ms
1,4|8|9|12|14|15|22|24|30|34|38|40|42|,118,200,183,22.14394ms
1,4|8|9|12|14|15|18|19|22|24|28|29|30|40|41|42|,118,203,184,22.128319ms
1,4|8|9|12|14|15|18|19|22|24|28|29|30|40|41|42|,118,203,185,22.128186ms
1,4|8|9|12|14|15|18|19|22|24|28|29|30|40|41|42|,118,203,186,22.156564ms
1,4|8|9|12|14|15|18|19|22|24|28|29|30|40|41|42|,118,203,186,22.208394ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,187,22.253029ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,188,22.479516ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,188,22.298191ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,189,22.220103ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,190,22.345294ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,190,22.296745ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,191,22.200411ms
1,4|9|12|14|15|19|22|24|29|30|34|40|42|,119,205,191,22.281684ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,192,22.154219ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,192,22.144409ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,193,22.211498ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,194,22.297573ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,194,22.221139ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,195,22.316005ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,195,22.330304ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,195,22.296321ms
1,4|9|12|14|15|19|22|24|29|30|34|40|42|,119,205,196,22.370592ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,197,22.322816ms
1,4|9|12|14|15|19|22|24|29|30|34|40|42|,119,205,197,22.260553ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,197,22.384069ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,198,22.43583ms
1,4|8|9|12|14|15|19|24|30|34|38|40|42|,120,205,198,22.418348ms
1,4|9|12|14|15|19|22|24|29|30|34|40|42|,119,205,199,22.538363ms
1,4|6|8|9|12|14|15|18|22|24|29|30|38|40|41|42|,120,205,199,22.605283ms
1,4|8|9|12|14|15|19|24|30|34|38|40|42|,120,205,199,22.301372ms
1,4|9|12|14|15|19|22|24|29|30|34|40|42|,119,205,200,22.483256ms
1,4|9|12|14|15|19|22|24|29|30|34|40|42|,119,205,200,22.403825ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,200,22.610942ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,201,22.325657ms
1,4|8|9|10|12|14|15|22|24|29|30|34|40|42|,120,205,201,22.252ms
1,1|4|8|9|12|15|18|19|22|24|30|34|40|42|,120,206,201,22.200061ms
1,1|4|8|9|12|15|18|19|22|24|30|34|40|42|,120,206,201,22.255838ms
1,1|4|8|9|12|15|18|19|22|24|30|34|40|42|,120,206,201,22.210702ms
1,1|4|8|9|12|15|18|19|22|24|30|34|40|42|,120,206,201,22.194859ms
1,1|4|8|9|12|15|18|19|22|24|30|34|40|42|,120,206,202,22.25379ms
1,1|4|8|9|12|15|18|19|22|24|30|34|40|42|,120,206,202,22.488738ms
1,1|4|8|9|12|15|18|19|22|24|30|34|40|42|,120,206,202,22.2476ms
1,1|4|8|9|12|15|18|19|22|24|30|34|40|42|,120,206,203,22.394039ms
1,4|8|9|12|14|18|22|24|29|30|34|40|42|,119,207,203,22.409542ms
1,4|8|9|12|14|18|22|24|29|30|34|40|42|,119,207,203,22.411432ms
1,4|8|9|12|14|18|22|24|29|30|34|40|42|,119,207,203,22.325708ms
1,4|8|9|12|14|18|22|24|29|30|34|40|42|,119,207,204,22.331184ms
1,4|8|9|12|14|18|22|24|29|30|34|40|42|,119,207,204,22.226615ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,204,22.296834ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,204,22.189166ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,204,22.216344ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,204,22.445158ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,204,22.447027ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,205,22.468462ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,205,22.369364ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,205,22.414157ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,205,22.203891ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,205,22.289677ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,205,22.209331ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,205,22.199943ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,205,22.308402ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,205,22.206039ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,206,22.205599ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,206,22.319523ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,206,22.305126ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,206,22.319885ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,206,22.347543ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,206,22.216684ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,206,22.202543ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,207,22.244643ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,207,22.210729ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,207,22.187304ms
1,4|8|9|14|18|22|24|29|30|34|38|40|42|,119,211,207,22.294103ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.188117ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.234354ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.204842ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.204915ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.205964ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.213306ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.094783ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.095443ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.183926ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.172677ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,208,22.133947ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.184717ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.106268ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.098411ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.152033ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.325828ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.397636ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.406799ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.098672ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.103094ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.360636ms
1,4|8|9|10|14|15|18|19|24|29|30|34|40|42|,119,212,209,22.115391ms
