sample,bestValue,bestWeight,bestFitness,average,time
1,9|15|16|19|20|26|27|29|33|37|38|40|42|,116,165,118,0
1,9|16|19|27|29|30|33|37|38|40|42|,120,188,133,22.655746ms
1,9|16|19|27|29|30|33|37|38|40|42|,120,188,142,22.724611ms
1,9|16|19|27|29|30|33|37|38|40|42|,120,188,147,22.735624ms
1,9|16|19|27|29|30|33|37|38|40|42|,120,188,150,22.8598ms
1,9|16|19|27|29|30|33|37|38|40|42|,120,188,154,22.530024ms
1,5|9|12|13|15|18|22|23|24|25|28|29|30|38|40|42|,119,189,157,22.959964ms
1,5|9|12|13|15|18|22|23|24|25|28|29|30|38|40|42|,119,189,161,22.666982ms
1,4|9|24|27|30|33|37|38|40|41|42|,119,192,165,22.848806ms
1,4|9|24|27|30|33|37|38|40|41|42|,119,192,167,22.733505ms
1,4|9|24|27|30|33|37|38|40|41|42|,119,192,169,23.071729ms
1,4|9|24|27|30|33|37|38|40|41|42|,119,192,172,22.659797ms
1,4|9|24|27|30|33|37|38|40|41|42|,119,192,175,22.797877ms
1,4|9|14|16|18|19|24|30|34|37|38|41|42|,119,192,178,22.665076ms
1,4|9|19|24|27|29|30|33|37|38|40|42|,119,198,180,22.471415ms
1,4|9|19|24|27|29|30|33|37|38|40|42|,119,198,182,22.745514ms
1,4|9|19|24|27|29|30|33|37|38|40|42|,119,198,183,22.615925ms
1,4|9|19|24|27|29|30|33|37|38|40|42|,119,198,185,22.539842ms
1,4|9|19|24|27|29|30|33|37|38|40|42|,119,198,186,22.691884ms
1,4|9|19|24|27|29|30|33|37|38|40|42|,119,198,188,22.377667ms
1,4|9|19|24|27|29|30|33|37|38|40|42|,119,198,188,22.683535ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,189,22.954986ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,190,22.630002ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,190,22.735588ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,191,22.788015ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,191,22.538188ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,192,22.831532ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,193,23.173505ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,193,23.062806ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,193,23.380043ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,193,23.845504ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,194,23.151996ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,195,23.018694ms
1,4|9|24|27|29|30|33|34|38|40|42|,120,207,196,23.206319ms
1,4|9|14|18|22|24|29|30|34|40|41|42|,120,210,196,23.166709ms
1,4|9|14|18|22|24|29|30|34|40|41|42|,120,210,197,23.076235ms
1,4|9|14|18|22|24|29|30|34|40|41|42|,120,210,198,23.498856ms
1,4|9|14|18|22|24|29|30|34|40|41|42|,120,210,199,23.742531ms
1,4|9|14|18|22|24|29|30|34|40|41|42|,120,210,200,23.996961ms
1,4|9|14|18|22|24|29|30|34|40|41|42|,120,210,200,23.467218ms
1,4|9|14|18|22|24|29|30|34|40|41|42|,120,210,200,23.247974ms
1,4|8|9|12|18|24|29|30|34|38|40|42|,119,211,201,23.588275ms
1,4|8|9|12|18|24|29|30|34|38|40|42|,119,211,201,23.369878ms
1,4|8|9|12|18|24|29|30|34|38|40|42|,119,211,202,23.392034ms
1,4|8|9|12|18|24|29|30|34|38|40|42|,119,211,203,23.694277ms
1,4|8|9|12|18|24|29|30|34|38|40|42|,119,211,203,23.531017ms
1,4|8|9|12|18|24|29|30|34|38|40|42|,119,211,203,23.348091ms
1,4|8|9|12|18|24|29|30|34|38|40|42|,119,211,204,23.235703ms
1,4|8|9|12|18|24|29|30|34|38|40|42|,119,211,204,22.811922ms
1,4|6|8|9|15|18|24|29|30|34|38|40|42|,120,213,204,22.807237ms
1,4|6|8|9|15|18|24|29|30|34|38|40|42|,120,213,204,22.999345ms
1,4|9|18|24|29|30|34|38|40|41|42|,120,214,205,22.780122ms
1,4|9|18|24|29|30|34|38|40|41|42|,120,214,205,22.808794ms
1,4|9|18|24|29|30|34|38|40|41|42|,120,214,206,22.960403ms
1,4|8|9|15|18|19|29|30|34|38|40|42|,119,215,206,22.905033ms
1,4|8|9|15|18|19|29|30|34|38|40|42|,119,215,207,22.753358ms
1,4|8|9|15|18|19|29|30|34|38|40|42|,119,215,207,22.732411ms
1,4|8|9|15|18|19|29|30|34|38|40|42|,119,215,207,22.730893ms
